sigma,noise_std,weight,noisy_psnr_db,noisy_ssim,denoised_psnr_db,denoised_ssim,iterations,converged,relative_gap,seconds
10.0,0.0392156862745098,0.03137254901960784,28.13727206919331,0.600858922745403,32.44464427840942,0.8809012059684521,250,True,9.856083001591936e-05,4.537145599999349
25.0,0.09803921568627451,0.0784313725490196,20.168860832988823,0.2771187584976055,28.914282040381547,0.7730285526964159,425,True,9.448548910803696e-05,6.578797100002703
50.0,0.19607843137254902,0.1568627450980392,14.141683547884636,0.12318321402281555,26.366739127347458,0.6642975713603737,525,True,9.700173727716715e-05,8.00086200000078
